price,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,typology,subtitle,floor,exterior,hasLift
194900.0,chalet,138.0,5,1,valdemaqueda,40.5112569,-4.2954262,good,1412.0,0,0,chalet,valdemaqueda,alto,1,0
255000.0,flat,72.0,1,1,madrid,40.4373516,-3.6334369,good,3542.0,1,1,flat,simancas,intermedio,1,1
158000.0,flat,88.0,3,1,pinto,40.2451097,-3.7018348,good,1795.0,0,0,flat,centro - ayuntamiento,intermedio,1,0
158000.0,flat,88.0,3,1,pinto,40.2447994,-3.7009744,good,1795.0,0,0,flat,centro - ayuntamiento,intermedio,1,0
339000.0,flat,94.0,2,2,madrid,40.4011558,-3.5486031,newdevelopment,3606.0,1,1,flat,el cañaveral,intermedio,1,1
348000.0,flat,94.0,2,2,madrid,40.4011558,-3.5486031,newdevelopment,3702.0,1,1,flat,el cañaveral,mediano,1,1
137500.0,flat,59.0,2,1,leganés,40.3259113,-3.7684872,good,2331.0,0,0,flat,vírgenes,intermedio,0,0
132500.0,flat,63.0,3,1,madrid,40.3517834,-3.694947,good,2103.0,0,0,flat,los ángeles,intermedio,0,0
118000.0,flat,75.0,3,1,alcalá de henares,40.4928869,-3.3685025,good,1573.0,0,0,flat,chorrillo,intermedio,0,0
158000.0,flat,88.0,3,1,pinto,40.2447192,-3.7022377,good,1795.0,0,0,flat,centro - ayuntamiento,intermedio,1,0
144000.0,flat,84.0,3,1,madrid,40.3507836,-3.6879205,good,1714.0,0,0,flat,los rosales,intermedio,0,0
281000.0,chalet,240.0,3,1,el escorial,40.6165838,-4.0354981,good,1171.0,0,0,chalet,las zorreras - monte encinar,alto,1,0
260000.0,chalet,153.0,3,2,san martín de la vega,40.2095459,-3.5815625,good,1699.0,1,1,chalet,san martín de la vega,alto,1,0
181000.0,flat,134.0,4,2,madrid,40.3955186,-3.7438249,renew,1351.0,0,0,flat,lucero,mediano,1,1
469000.0,chalet,220.0,5,2,collado mediano,40.6967651,-4.0349944,good,2132.0,0,0,chalet,collado mediano,alto,1,0
460000.0,chalet,177.0,3,2,manzanares el real,40.7299867,-3.8625047,good,2599.0,1,1,chalet,manzanares el real,alto,1,0
310000.0,duplex,93.0,2,2,madrid,40.4511915,-3.7088665,good,3333.0,0,0,flat,bellas vistas,bajo,0,0
535000.0,chalet,270.0,5,3,los molinos,40.7092995,-4.0665807,good,1981.0,0,0,chalet,los molinos,alto,1,0
330000.0,flat,63.0,1,1,madrid,40.4678266,-3.6848094,good,5238.0,0,0,flat,castilla,intermedio,1,1
590000.0,flat,168.0,3,2,san sebastián de los reyes,40.558406,-3.639824,good,3512.0,1,1,flat,tempranales,intermedio,1,1
150000.0,studio,47.0,0,1,los molinos,40.710703,-4.0744269,good,3191.0,0,0,flat,los molinos,intermedio,1,1
179000.0,flat,64.0,3,1,madrid,40.4689554,-3.7026285,renew,2797.0,0,0,flat,valdeacederas,intermedio,0,0
277400.0,flat,73.0,2,1,madrid,40.385906,-3.7027063,good,3800.0,0,0,flat,almendrales,bajo,1,0
395000.0,flat,150.0,4,2,alcobendas,40.5446239,-3.6379004,good,2633.0,0,0,flat,alcobendas centro,intermedio,1,1
145000.0,flat,52.0,2,1,madrid,40.3840913,-3.6705266,good,2788.0,0,0,flat,san diego,intermedio,1,0
437500.0,penthouse,69.0,1,1,madrid,40.4173791,-3.6209881,newdevelopment,6341.0,1,1,flat,arcos,mediano,1,1
500000.0,flat,110.0,3,2,madrid,40.4195395,-3.7078132,good,4545.0,0,0,flat,sol,intermedio,1,1
575700.0,chalet,264.0,4,3,colmenar viejo,40.6780625,-3.7770625,newdevelopment,2181.0,1,1,chalet,cerca tejera,alto,1,0
550000.0,chalet,150.0,5,2,cercedilla,40.728429,-4.0718507,renew,3667.0,0,0,chalet,cercedilla,alto,1,0
289000.0,chalet,188.0,3,2,cabanillas de la sierra,40.830771,-3.6275418,good,1537.0,0,0,chalet,cabanillas de la sierra,alto,1,0
240000.0,chalet,245.0,4,2,cabanillas de la sierra,40.8172791,-3.6238351,good,980.0,0,0,chalet,cabanillas de la sierra,alto,1,0
220400.0,flat,58.0,2,1,madrid,40.3861232,-3.7038871,good,3800.0,0,0,flat,almendrales,intermedio,0,0
270000.0,flat,85.0,4,1,madrid,40.4329222,-3.648766,renew,3176.0,0,0,flat,quintana,intermedio,1,0
139062.0,flat,85.0,2,2,aranjuez,40.0325362,-3.6064162,newdevelopment,1636.0,0,0,flat,centro,intermedio,1,1
213939.0,flat,112.0,4,2,aranjuez,40.0325362,-3.6064162,newdevelopment,1910.0,0,0,flat,centro,flat,1,1
193342.0,flat,101.0,3,2,aranjuez,40.0325362,-3.6064162,newdevelopment,1914.0,0,0,flat,centro,flat,1,1
150000.0,flat,85.0,3,1,fuenlabrada,40.2879525,-3.7917496,renew,1765.0,0,0,flat,centro,intermedio,1,1
275000.0,flat,60.0,1,1,madrid,40.4057037,-3.6774054,good,4583.0,0,0,flat,pacífico,intermedio,0,1
185000.0,flat,75.0,1,1,madrid,40.4380706,-3.6402578,good,2467.0,0,0,flat,quintana,bajo,1,0
312000.0,flat,88.0,2,2,getafe,40.3179911,-3.700932,newdevelopment,3545.0,1,1,flat,los molinos,intermedio,1,1
